"Tidsskrift id","Original tittel","Sist endret","Internasjonal tittel","Aktiv","Print ISSN","Online ISSN","Open Access","NPI Fagfelt","NPI Fagområde","Nivå 2024","Nivå 2023","Nivå 2022","Nivå 2021","Nivå 2020","Nivå 2019","Nivå 2018","Nivå 2017","Nivå 2016","Nivå 2015","Nivå 2014","Nivå 2013","Nivå 2012","Nivå 2011","Nivå 2010","Nivå 2009","Nivå 2008","Nivå 2007","Nivå 2006","Nivå 2005","Nivå 2004","Forlag id","Etablert år","Nedlagt år","Forlag","Utgiver","Utgiverland","Språk","Konferanserapport","Url"
"440889","Geodesy, Mapping and Photogrammetry","15-Feb-2016 14:02:49","Geodesy, Mapping and Photogrammetry","0","0361-4433","","","Geografi","Samfunnsvitenskap","","","","","","","","","","","","","","","","","","","","","1","18057","1973","1980","American Geophysical Union (AGU)","","USA","","0","NA"
"440890","Geodinamica Acta","08-Jun-2023 11:42:57","Geodinamica Acta","1","0985-3111","1778-3593","DOAJ","Geovitenskap","Realfag og teknologi","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","18173","1987","","Elsevier","","Nederland","","0","http://www.sciencedirect.com/science?_ob=JournalURL&_cdi=6228&_auth=y&_acct=C000030718&_version=1&_urlVersion=0&_userid=596755&md5=534d6ec8e192b2acc4a31a5b57f8ac1c"
"440891","Geodiversitas","18-Aug-2023 13:56:25","Geodiversitas","1","1280-9659","1638-9395","","Geovitenskap","Realfag og teknologi","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1997","","","Museum National d'Histoire Naturelle Paris   ","Frankrike","","0","http://www.mnhn.fr/publication/geodiv/ageodiv.html"
"440892","Geofluids","18-Aug-2023 13:56:25","Geofluids","1","1468-8115","1468-8123","DOAJ","Geovitenskap","Realfag og teknologi","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","18270","2001","","John Wiley & Sons","Hindawi","Storbritannia","Engelsk","0","https://www.hindawi.com/journals/geofluids/"
"440893","Geografiska Annaler: Series B, Human Geography","18-Aug-2023 13:56:25","Geografiska Annaler: Series B, Human Geography","1","0435-3684","1468-0467","","Geografi","Samfunnsvitenskap","","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","1","1","18442","1965","","Taylor & Francis","","Storbritannia","Engelsk","0","https://www.tandfonline.com/toc/rgab20/current"
"440894","Geografiska Notiser","08-Jun-2023 11:39:34","Geografiska Notiser","1","0016-724X","2002-8229","","Geografi","Samfunnsvitenskap","","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1943","","","Geografilärarnas riksförening","Sverige","Svensk","0","https://geografilararnas.se/geografiska-notiser/"
"440895","Geographical & Environmental Modelling","15-Aug-2023 13:31:38","Geographical & Environmental Modelling","1","1361-5939","1469-8323","","Geografi","Samfunnsvitenskap","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","18442","1997","","Taylor & Francis","","Storbritannia","","0","http://www.tandf.co.uk/journals/carfax/13615939.html"
"440896","Geographical Journal","18-Aug-2023 13:56:25","Geographical Journal","1","0016-7398","1475-4959","","Geografi","Samfunnsvitenskap","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","1","1","13245","1893","","Blackwell Publishing","","Storbritannia","","0","http://www.blackwellpublishing.com/journal.asp?ref=0016-7398"
"440897","Geographical Review","18-Aug-2023 13:56:25","Geographical Review","1","0016-7428","1931-0846","","Geografi","Samfunnsvitenskap","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","1","1","","1916","","","The American Geographical Society","USA","","0","http://www.amergeog.org/gr/grhome.html"
"440898","Geographie, Economie, Societe","18-Aug-2023 13:56:25","Geographie, Economie, Societe","1","1295-926X","1958-5802","","Geografi","Samfunnsvitenskap","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","18173","1999","","Elsevier","","Frankrike","","0","http://www.alternatives-economiques.fr/site/nouvelles_pages/geo.html"
