"Tidsskrift id","Original tittel","Sist endret","Internasjonal tittel","Aktiv","Print ISSN","Online ISSN","Open Access","NPI Fagfelt","NPI Fagområde","Nivå 2024","Nivå 2023","Nivå 2022","Nivå 2021","Nivå 2020","Nivå 2019","Nivå 2018","Nivå 2017","Nivå 2016","Nivå 2015","Nivå 2014","Nivå 2013","Nivå 2012","Nivå 2011","Nivå 2010","Nivå 2009","Nivå 2008","Nivå 2007","Nivå 2006","Nivå 2005","Nivå 2004","Forlag id","Etablert år","Nedlagt år","Forlag","Utgiver","Utgiverland","Språk","Konferanserapport","Url"
"340352","International Social Science Journal","18-Aug-2023 13:56:25","International Social Science Journal","1","0020-8701","1468-2451","","Tverrfaglig samfunnsforskning","Samfunnsvitenskap","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1949","","","","Frankrike","","0","http://www.unesco.org/issj/"
"340353","Journal of Psychology","18-Aug-2023 13:56:25","Journal of Psychology","1","0022-3980","1940-1019","","Psykologi","Medisin og helsefag","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","18402","1936","","Routledge","","USA","Engelsk","0","http://www.tandf.co.uk/journals/titles/00223980.asp"
"340354","European Journal of Applied Physiology and Occupational Physiology","26-May-2021 17:05:10","European Journal of Applied Physiology and Occupational Physiology","0","0301-5548","1432-1025","","Rehabilitering, fysioterapi, ergoterapi og ortopediingeniørfag","Medisin og helsefag","","","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","22512","1973","1999","Springer","","Tyskland","Flerspråklig","0","http://NA"
"340356","Hydrobiologia","18-Aug-2023 13:56:25","Hydrobiologia","1","0018-8158","1573-5117","","Biovitenskap","Realfag og teknologi","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","22512","1948","","Springer","","Nederland","","0","http://www.springer.com/life+sciences/ecology/journal/10750"
"340357","Tid og tanke","06-Jun-2023 12:22:29","Tid og tanke","1","0809-0505","","","Ikke tildelt","Ikke tildelt","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","","18452","","","Unipub forlag","","Norge","","0","http://unipub.no/taxonomy/term/19"
"340359","Archivum Immunologiae et Therapiae Experimentalis","18-Aug-2023 13:56:25","Archivum Immunologiae et Therapiae Experimentalis","1","0004-069X","1661-4917","","Biomedisin","Medisin og helsefag","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1962","","","","Polen","","0","http://www.springerlink.com/?MUD=MP"
"340360","Medizinhistorisches Journal","18-Aug-2023 13:56:25","Medizinhistorisches Journal","1","0025-8431","1611-4477","","Historie og Idéhistorie","Humaniora","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","18189","1966","","Franz Steiner Verlag","","Tyskland","Flerspråklig","0","http://www.steiner-verlag.de/programm/zeitschriften/medizinhistorisches-journal/"
"340361","Annals of Science","18-Aug-2023 13:56:25","Annals of Science","1","0003-3790","1464-505X","","Historie og Idéhistorie","Humaniora","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","18442","1936","","Taylor & Francis","","USA","Engelsk","0","http://www.tandfonline.com/toc/tasc20/current"
"340363","SiC!","08-May-2023 11:07:50","SiC!","0","0806-7155","","","Teologi og religionsvitenskap","Humaniora","","","","","","","","","","","","","","","","","","","","0","","","1995","1997","","Sic","Norge","Norsk (bokmål)","0","NA"
"340367","Norsk tidsskrift for logopedi","08-Jun-2023 11:42:57","Norsk tidsskrift for logopedi","1","0332-7256","","","Pedagogikk og utdanning","Samfunnsvitenskap","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1969","","","Norsk Logopedlag","Norge","","0","http://norsklogopedlag.no/tidsskriftet"
"340368","Journal of Neurology","18-Aug-2023 13:56:25","Journal of Neurology","1","0340-5354","1432-1459","","Nevrologi","Medisin og helsefag","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","22512","1974","","Springer","","Tyskland","Flerspråklig","0","https://www.springer.com/journal/415"
"340369","Developments in Biologicals","08-Jun-2023 11:39:34","Developments in Biologicals","1","1424-6074","1662-2960","","Biovitenskap","Realfag og teknologi","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","18410","1999","","S. Karger","Karger","Sveits","","0","http://www.karger.ch/bookseries/debis/debis.htm"
"340370","Internationella Studier","06-Jun-2023 12:22:29","Internationella Studier","1","0020-952X","","","Statsvitenskap","Samfunnsvitenskap","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","Utrikespolitiska institutet","Sverige","","0","http://www.ui.se/isutg01.htm"
