"Tidsskrift id","Original tittel","Sist endret","Internasjonal tittel","Aktiv","Print ISSN","Online ISSN","Open Access","NPI Fagfelt","NPI Fagområde","Nivå 2024","Nivå 2023","Nivå 2022","Nivå 2021","Nivå 2020","Nivå 2019","Nivå 2018","Nivå 2017","Nivå 2016","Nivå 2015","Nivå 2014","Nivå 2013","Nivå 2012","Nivå 2011","Nivå 2010","Nivå 2009","Nivå 2008","Nivå 2007","Nivå 2006","Nivå 2005","Nivå 2004","Forlag id","Etablert år","Nedlagt år","Forlag","Utgiver","Utgiverland","Språk","Konferanserapport","Url"
"470237","Vulnerable Children and Youth Studies","18-Aug-2023 13:56:25","Vulnerable Children and Youth Studies","1","1745-0128","1745-0136","","Sosialforskning","Samfunnsvitenskap","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","18402","","","Routledge","","Storbritannia","","0","http://www.tandf.co.uk/journals/titles/17450128.asp"
"470245","Klinisk Sygepleje","08-Jun-2023 11:42:57","Klinisk Sygepleje","1","0902-2767","1903-2285","","Sykepleie","Medisin og helsefag","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","18455","1987","","Universitetsforlaget","","Danmark","","0","https://www.idunn.no/klinisk_sygepleje"
"470246","Advanced Technology for Learning","15-Aug-2023 13:31:38","Advanced Technology for Learning","1","1710-2251","1710-226X","","Pedagogikk og utdanning","Samfunnsvitenskap","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","19166","2004","","ACTA Press","","Canada","","0","http://www.actapress.com/Content_of_Journal.aspx?journalID=76"
"470247","Acta Orthopaedica Scandinavica","08-Feb-2016 14:36:49","Acta Orthopaedica Scandinavica","0","0001-6470","","","Kirurgiske fag","Medisin og helsefag","","","","","","","","","","","","","","","","","","1","","1","","","1930","2004","","","Danmark","Engelsk","0","NA"
"470248","Acta orthopaedica. Supplementum","15-Aug-2023 13:31:38","Acta orthopaedica. Supplementum","1","1745-3690","1745-3704","","Kirurgiske fag","Medisin og helsefag","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","18442","2005","","Taylor & Francis","","Storbritannia","Engelsk","0","http://www.tandf.co.uk/journals/default.asp"
"470249","WSEAS Transactions on Communications","08-Jun-2023 11:40:28","WSEAS Transactions on Communications","1","1109-2742","2224-2864","","Tverrfaglig teknologi","Realfag og teknologi","","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","","","20011","2002","","World Scientific and Engineering Academy and Society (WSEAS)","","Internasjonal","Engelsk","0","https://wseas.com/journals/communications/"
"470250","Nordand : nordisk tidsskrift for andrespråksforskning","08-Jun-2023 11:42:57","Nordand : nordisk tidsskrift for andrespråksforskning","1","0809-9227","2535-3381","","Nordisk","Humaniora","","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","1","","","18455","2006","","Universitetsforlaget","","Norge","","0","https://www.idunn.no/nordand"
"470251","International Journal of Alternative Propulsion","08-Jun-2023 11:39:34","International Journal of Alternative Propulsion","1","1471-0234","1741-8011","","Energi","Realfag og teknologi","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","17842","","","InderScience Publishers","","Sveits","","0","http://www.inderscience.com/browse/index.php"
"470252","International Journal of Sustainable Transportation","18-Aug-2023 13:56:25","International Journal of Sustainable Transportation","1","1556-8318","1556-8334","","Konstruksjonsfag","Realfag og teknologi","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","18442","","","Taylor & Francis","","Storbritannia","","0","http://www.taylorandfrancis.com"
"470253","ECTI Transactions","18-Aug-2023 13:56:25","ECTI Transactions","1","1685-9545","","","Elektrofag","Realfag og teknologi","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","20013","2003","","Electrical Engineering/Electronics, Computer, Communications and Information Technology Association","","Thailand","","0","http://www.ecti.or.th/~editoreec/index_eec.html"
"470254","Feminist Criminology","18-Aug-2023 13:56:25","Feminist Criminology","1","1557-0851","1557-086X","","Sosiologi","Samfunnsvitenskap","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","18411","","","Sage Publications","","USA","","0","http://fcx.sagepub.com/"
"470255","Daedong Munhwa Yeon'gu (Study of Eastern Culture)","15-Aug-2023 13:31:38","Daedong Munhwa Yeon'gu (Study of Eastern Culture)","1","1225-3820","","","Asia- Midtøsten- og Nord-Afrikastudier","Humaniora","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","","1963","","","Songgyun'gwan Taehakkyo","Sør-Korea","","0","http://aeas.skku.edu/eng/pub02.jsp"
"470256","Advances in Information Security","18-Aug-2023 13:56:25","Advances in Information Security","1","1568-2633","","","IKT","Realfag og teknologi","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","19045","2001","","Springer Science+Business Media B.V.","","Tyskland","","0","http://www.springer.com/west/home/computer?SGWID=4-146-69-173623369-0"
"470257","Dictionary of Literary Biography","15-Aug-2023 13:31:38","Dictionary of Literary Biography","1","1096-8547","","","Litteraturvitenskap","Humaniora","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","18715","1978","","Gale Group","","USA","","0","http://www.gale.com/servlet/ItemDetailServlet?region=9&imprint=000&titleCode=GAL15&cf=n&type=4&id=110997"
"470258","Interdisciplinary Communications","06-Jun-2023 12:22:29","Interdisciplinary Communications","1","0809-8735","0809-8743","","Ikke tildelt","Ikke tildelt","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","2005","","","Centre for Advanced Study","Norge","","0","http://www.cas.uio.no"
"470259","Estudios Filologicos Alemanes","15-Aug-2023 13:31:38","Estudios Filologicos Alemanes","1","1578-9438","","","Tysk og nederlandsk","Humaniora","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","","2002","","","Grupo de Investigación Filología Alemana, Universi","Spania","","0","http://alojamientos.us.es/restfa/principal.htm"
"470260","Käytännöllisen teologian laitoksen julkaisuja","15-Aug-2023 13:31:38","Publications of the Department of Practical Theology","1","1236-584X","","","Teologi og religionsvitenskap","Humaniora","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","","1993","","","Helsingin yliopisto","Finland","Finsk","0","http://www.helsinki.fi/teol/ktel/esittely/julkaisut.htm"
"470261","Journal of the Royal Society Interface","18-Aug-2023 13:56:25","Journal of the Royal Society Interface","1","1742-5689","1742-5662","","Tverrfaglig naturvitenskap og medisin","Realfag og teknologi","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","","2004","","","Royal Society Publishing","Storbritannia","","0","http://www.pubs.royalsoc.ac.uk/index.cfm?page=1058"
"470262","Waiguo Wenxue Yanjiu","18-Aug-2023 13:56:25","Foreign Literature Studies","1","1003-7519","","","Asia- Midtøsten- og Nord-Afrikastudier","Humaniora","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","","1978","","","Waiguo Wenxue Yanjiu Zazhishe","Kina","Kinesisk","0","http://NA"
