"Tidsskrift id","Original tittel","Sist endret","Internasjonal tittel","Aktiv","Print ISSN","Online ISSN","Open Access","NPI Fagfelt","NPI Fagområde","Nivå 2024","Nivå 2023","Nivå 2022","Nivå 2021","Nivå 2020","Nivå 2019","Nivå 2018","Nivå 2017","Nivå 2016","Nivå 2015","Nivå 2014","Nivå 2013","Nivå 2012","Nivå 2011","Nivå 2010","Nivå 2009","Nivå 2008","Nivå 2007","Nivå 2006","Nivå 2005","Nivå 2004","Forlag id","Etablert år","Nedlagt år","Forlag","Utgiver","Utgiverland","Språk","Konferanserapport","Url"
"451928","Inklings: Jahrbuch für Literatur and Ästhetik","15-Aug-2023 13:31:38","Inklings: Jahrbuch für Literatur and Ästhetik","1","0176-3733","","","Litteraturvitenskap","Humaniora","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","1984","","","Inklings-Gesellschaft e.V","Tyskland","","0","http://www.inklings-gesellschaft.de/jahrbucher/"
"451929","The Granta","06-Jun-2023 12:22:29","The Granta","1","0017-3231","","","Ikke tildelt","Ikke tildelt","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","","","","","","","Storbritannia","","0","http://www.granta.com/"
"451930","Grazer Linguistische Studien","08-Jun-2023 11:42:57","Grazer Linguistische Studien","1","1015-0498","","","Ikke tildelt","Ikke tildelt","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","","","","","","","Østerrike","","0","http://www-gewi.kfunigraz.ac.at/ling/gls/"
"451931","ISLE: Interdisciplinary Studies in Literature and Environment","18-Aug-2023 13:56:25","ISLE: Interdisciplinary Studies in Literature and Environment","1","1076-0962","1759-1090","","Litteraturvitenskap","Humaniora","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","1993","","","University of Nevada Press","USA","","0","http://www.asle.org/site/publications/isle/"
"451932","Interlink (Tampere)","12-Jun-2023 12:39:21","Interlink (Tampere)","0","0783-2524","","","Ikke tildelt","Ikke tildelt","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","","","1984","1987","","","Finland","","0",""
"451933","Greyfriar. Siena Studies in Literature","12-Jun-2023 12:40:02","Greyfriar. Siena Studies in Literature","1","0533-2869","","","Ikke tildelt","Ikke tildelt","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","0","","","1960","","","","","","0","https://www.siena.edu/departments/english/greyfriar-living-literature-series/"
"451934","Gutenberg-Jahrbuch","06-Jun-2023 12:22:29","Gutenberg-Jahrbuch","1","0072-9094","","","Ikke tildelt","Ikke tildelt","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","","18212","1926","","Harrassowitz Verlag","Internationale Gutenberg-Gesellschaft in Mainz e.V.","Tyskland","Flerspråklig","0","http://www.gutenberg-gesellschaft.de/publikationen/gutenberg-jahrbuch/"
"451935","Hamlet Studies","08-Feb-2016 14:36:49","Hamlet Studies","0","0256-2480","","","Ikke tildelt","Ikke tildelt","","","","","","","","","","","","","","","","","","","","0","","","1979","2003","","University of Madras","India","","0","http://www.unom.ac.in/chepauklib.html"
"451936","The Hardy Review","15-Feb-2016 14:02:49","The Hardy Review","0","0307-1642","","","Engelsk","Humaniora","","","","","","","","","","","","","","","","","","","","1","","","1975","1984","","","USA","","0","http://www.yale.edu/hardysoc/Journal/journal.htm"
"451937","Interlink : Journal of Research in Music","12-Jun-2023 12:40:46","Interlink : Journal of Research in Music","1","1597-2070","","","Ikke tildelt","Ikke tildelt","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","","","","","","","Nigeria","","0",""
