"Tidsskrift id","Original tittel","Sist endret","Internasjonal tittel","Aktiv","Print ISSN","Online ISSN","Open Access","NPI Fagfelt","NPI Fagområde","Nivå 2024","Nivå 2023","Nivå 2022","Nivå 2021","Nivå 2020","Nivå 2019","Nivå 2018","Nivå 2017","Nivå 2016","Nivå 2015","Nivå 2014","Nivå 2013","Nivå 2012","Nivå 2011","Nivå 2010","Nivå 2009","Nivå 2008","Nivå 2007","Nivå 2006","Nivå 2005","Nivå 2004","Forlag id","Etablert år","Nedlagt år","Forlag","Utgiver","Utgiverland","Språk","Konferanserapport","Url"
"445347","Nursing Management","18-Aug-2023 13:56:25","Nursing Management","1","0744-6314","1538-8670","","Sykepleie","Medisin og helsefag","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","18299","1981","","Lippincott Williams & Wilkins","","","","0","http://www.nursingmanagement.com/"
"445348","Nursing Outlook","18-Aug-2023 13:56:25","Nursing Outlook","1","0029-6554","1528-3968","","Sykepleie","Medisin og helsefag","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1953","","","","","","0","http://www.sciencedirect.com/science/journal/00296554"
"445349","Nursing Philosophy","18-Aug-2023 13:56:25","Nursing Philosophy","1","1466-7681","1466-769X","","Sykepleie","Medisin og helsefag","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","13245","2000","","Blackwell Publishing","","Storbritannia","","0","http://www.blackwell-synergy.com/toc/nup/6/3"
"445350","Nursing Research","18-Aug-2023 13:56:25","Nursing Research","1","0029-6562","1538-9847","","Sykepleie","Medisin og helsefag","","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","1","2","","1952","","","Lippincott Williams & Wilkins","USA","","0","http://www.lww.com/product/Nursing-Research-1208685/?0029-6562"
"445351","Nursing Science Quarterly","18-Aug-2023 13:56:25","Nursing Science Quarterly","1","0894-3184","1552-7409","","Sykepleie","Medisin og helsefag","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1988","","","","","","0","http://nsq.sagepub.com/"
"445352","NursingConnections","15-Feb-2016 14:02:49","NursingConnections","0","0895-2809","","","Sykepleie","Medisin og helsefag","","","","","","","","","","","","","","","","","","","","","1","","1988","2000","","","","","0","NA"
"445353","Nutrition - The International Journal of Applied and Basic Nutritional Sciences","18-Aug-2023 13:56:25","Nutrition - The International Journal of Applied and Basic Nutritional Sciences","1","0899-9007","1873-1244","","Ernæring","Medisin og helsefag","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","18173","1987","","Elsevier","","USA","Engelsk","0","http://www.sciencedirect.com/science/journal/08999007"
"445354","Nutrition and Cancer","18-Aug-2023 13:56:25","Nutrition and Cancer","1","0163-5581","1532-7914","","Onkologi","Medisin og helsefag","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1978","","","","","","0","https://www.erlbaum.com/shop/tek9.asp?pg=products&specific=0163-5581"
"445355","Nutrition Bulletin","18-Aug-2023 13:56:25","Nutrition Bulletin","1","1471-9827","1467-3010","","Ernæring","Medisin og helsefag","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1993","","","","Storbritannia","","0","http://www.blackwellpublishing.com/submit.asp?ref=1471-9827"
"445356","Nutrition clinique et metabolisme","18-Aug-2023 13:56:25","Nutrition clinique et metabolisme","1","0985-0562","1768-3092","","Endokrinologi","Medisin og helsefag","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1987","","","","Frankrike","","0","http://www.sciencedirect.com/science/journal/09850562"
"445357","Nutrition in Clinical Care","15-Aug-2023 13:31:38","Nutrition in Clinical Care","1","1096-6781","1523-5408","","Ernæring","Medisin og helsefag","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1998","","","","","","0","http://www.ilsi.org/Publications/NCC/"
"445358","Nutrition Journal","18-Aug-2023 13:56:25","Nutrition Journal","1","","1475-2891","DOAJ","Biomedisin","Medisin og helsefag","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","16994","2002","","BioMed Central (BMC)","","Storbritannia","","0","http://www.nutritionj.com/"
"445359","Nutrition research reviews","18-Aug-2023 13:56:25","Nutrition research reviews","1","0954-4224","1475-2700","","Ernæring","Medisin og helsefag","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1988","","","","","","0","http://www.cambridge.org/uk/"
"445360","Nutrition reviews","18-Aug-2023 13:56:25","Nutrition reviews","1","0029-6643","1753-4887","","Ernæring","Medisin og helsefag","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1942","","","","","","0","http://www.oxfordjournals.org/"
"445361","Nutritional neuroscience","18-Aug-2023 13:56:25","Nutritional neuroscience","1","1028-415X","1476-8305","","Nevrologi","Medisin og helsefag","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1999","","","","","","0","http://maneypublishing.com/"
"445362","NWSA Journal","26-May-2021 17:05:10","NWSA Journal","0","1040-0656","1527-1889","","Kjønnsforskning","Samfunnsvitenskap","","","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1988","2009","","Ablex Publishing Co.","USA","Engelsk","0","https://muse.jhu.edu/journal/146"
"445363","Ny Poetik","11-Jul-2017 10:15:26","Ny Poetik","0","0908-1410","","","Litteraturvitenskap","Humaniora","","","","","","","","","","","","","","","","","","","","","1","18435","1993","1999","Syddansk Universitetsforlag","","Danmark","Dansk","0","http://universitypress.dk"
"445364","Obesity Research","26-May-2021 17:05:10","Obesity Research","0","1071-7323","1550-8528","","Endokrinologi","Medisin og helsefag","","","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1993","2005","","North American Association for the Study of Obesity","USA","Engelsk","0","http://NA"
"445365","Obesity Reviews","18-Aug-2023 13:56:25","Obesity Reviews","1","1467-7881","1467-789X","","Endokrinologi","Medisin og helsefag","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","2000","","","","","","0","http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-789X"
"445366","Obesity Surgery","18-Aug-2023 13:56:25","Obesity Surgery","1","0960-8923","1708-0428","","Kirurgiske fag","Medisin og helsefag","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","22512","1991","","Springer","","USA","Engelsk","0","https://www.springer.com/journal/11695"
"445367","Object-oriented strategies","06-Jun-2023 12:22:29","Object-oriented strategies","1","1059-4108","","","IKT","Realfag og teknologi","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1991","","","","","","0","NA"
"445368","Observatory","18-Aug-2023 13:56:25","Observatory","1","0029-7704","","","Fysikk","Realfag og teknologi","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1877","","","","","","0","NA"
"445369","Obstetrics and Gynecology Clinics of North America","18-Aug-2023 13:56:25","Obstetrics and Gynecology Clinics of North America","1","0889-8545","1558-0474","","Fødselshjelp og kvinnesykdommer","Medisin og helsefag","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","18173","1987","","Elsevier","","","","0","http://authors.elsevier.com/JournalDetail.html?PubID=623320&Precis=DESC"
