"Tidsskrift id","Original tittel","Sist endret","Internasjonal tittel","Aktiv","Print ISSN","Online ISSN","Open Access","NPI Fagfelt","NPI Fagområde","Nivå 2024","Nivå 2023","Nivå 2022","Nivå 2021","Nivå 2020","Nivå 2019","Nivå 2018","Nivå 2017","Nivå 2016","Nivå 2015","Nivå 2014","Nivå 2013","Nivå 2012","Nivå 2011","Nivå 2010","Nivå 2009","Nivå 2008","Nivå 2007","Nivå 2006","Nivå 2005","Nivå 2004","Forlag id","Etablert år","Nedlagt år","Forlag","Utgiver","Utgiverland","Språk","Konferanserapport","Url"
"483498","History of Economic Thought and Policy","18-Aug-2023 13:56:25","History of Economic Thought and Policy","1","2240-9971","2280-188X","","Historie og Idéhistorie","Humaniora","","1","1","1","1","1","1","1","1","1","1","","","","","","","","","","","","2012","","","Franco Angeli Edizioni","Italia","Flerspråklig","0","http://www.francoangeli.it/riviste/sommario.asp?IDRivista=121&lingua=en"
"483499","Global Media Journal - German Edition (GMJ-DE)","06-Jun-2023 12:22:29","Global Media Journal - German Edition (GMJ-DE)","1","","2196-4807","DOAJ","Medier og kommunikasjon","Humaniora","","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","2011","","","Freie Universität Berlin","Tyskland","Flerspråklig","0","http://globalmediajournal.de/en/"
"483500","Spatium","18-Aug-2023 13:56:25","Spatium","1","1450-569X","2217-8066","DOAJ","Arkitektur og design","Humaniora","","1","1","1","1","1","1","1","1","1","1","","","","","","","","","","","","1997","","","Institute of Architecture and Urban and Spatial Planning of Serbia","Serbia","Engelsk","0","http://www.doiserbia.nb.rs/journal.aspx?issn=1450-569X"
"483501","Advances in Business and Management","06-Jun-2023 12:22:29","Advances in Business and Management","1","2159-9335","","","Økonomisk-administrative fag","Samfunnsvitenskap","","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","12778","2011","","Nova Science Publishers","","USA","Engelsk","0","https://www.novapublishers.com/catalog/product_info.php?products_id=29046"
"483502","Water Resources and Economics","18-Aug-2023 13:56:25","Water Resources and Economics","1","2212-4284","","","Geovitenskap","Realfag og teknologi","","1","1","1","1","1","1","1","1","1","1","","","","","","","","","","","18173","2013","","Elsevier","","Nederland","Engelsk","0","http://www.sciencedirect.com/science/journal/22124284"
"483503","Research Journal of Economics, Business and ICT","15-Aug-2023 13:31:38","Research Journal of Economics, Business and ICT","1","2045-3345","2047-7848","","Økonomisk-administrative fag","Samfunnsvitenskap","0","1","1","1","1","1","1","1","1","1","1","","","","","","","","","","","","2011","","","English Time Schools and Overseas Education Ltd.","Storbritannia","Engelsk","0","http://ojs.journals.cz/index.php/RJEBI/index"
"483504","International Journal of Agriculture and Plant Science","06-Jun-2023 12:22:29","International Journal of Agriculture and Plant Science","1","","2321-8894","","Biovitenskap","Realfag og teknologi","","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","2013","","","Astral International Pvt Ltd","India","Engelsk","0","http://www.astralint.com/International_Journal_of_Agriculture_and_Plant_Science.aspx"
"483505","Moving the social. Journal of social history and the history of social movements","08-Jun-2023 11:40:28","Moving the social. Journal of social history and the history of social movements","1","2197-0386","2197-0394","","Historie og Idéhistorie","Humaniora","","1","1","1","1","1","1","1","1","1","1","","","","","","","","","","","","2012","","","Klartext","Tyskland","Flerspråklig","0","http://www.isb.rub.de/publikationen/mitteilungsblatt/index.html.de"
"483506","International Journal of Governance","06-Jun-2023 12:22:29","International Journal of Governance","1","","2224-5359","","Statsvitenskap","Samfunnsvitenskap","","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","2011","","","International Journal of Governance","Pakistan","Engelsk","0","http://www.ijgovernance.com/index.php/ijg"
"483507","Applied Optics","18-Aug-2023 13:56:25","Applied Optics","1","1559-128X","2155-3165","","Fysikk","Realfag og teknologi","","1","1","1","1","1","1","1","1","1","1","","","","","","","","","","","","2004","","","Optical Society of America","USA","Engelsk","0","http://www.opticsinfobase.org/ao/"
"483508","Journal of Learning Spaces","08-Jun-2023 11:39:34","Journal of Learning Spaces","1","","2158-6195","DOAJ","Pedagogikk og utdanning","Samfunnsvitenskap","","1","1","1","1","1","1","1","1","1","1","","","","","","","","","","","","2011","","","University of North Carolina at Greensboro","USA","Engelsk","0","https://vpn1.uio.no/+CSCO+0h756767633A2F2F79766F77626865616E792E686170742E727168++/index.php/jls/about/editorialPolicies#focusAndScope"
