"Tidsskrift id","Original tittel","Sist endret","Internasjonal tittel","Aktiv","Print ISSN","Online ISSN","Open Access","NPI Fagfelt","NPI Fagområde","Nivå 2024","Nivå 2023","Nivå 2022","Nivå 2021","Nivå 2020","Nivå 2019","Nivå 2018","Nivå 2017","Nivå 2016","Nivå 2015","Nivå 2014","Nivå 2013","Nivå 2012","Nivå 2011","Nivå 2010","Nivå 2009","Nivå 2008","Nivå 2007","Nivå 2006","Nivå 2005","Nivå 2004","Forlag id","Etablert år","Nedlagt år","Forlag","Utgiver","Utgiverland","Språk","Konferanserapport","Url"
"450186","Rapport (Byggforsk)","08-Feb-2016 14:36:49","Rapport (Byggforsk)","0","0048-0525","","","Ikke tildelt","Ikke tildelt","","","","","","","","","","","","","","","","","","","","0","","","1953","2006","","Byggforsk - Norges byggforskningsinstitutt","Norge","","0","http://www.byggforsk.no/default.aspx?innholdsID=71"
"450187","Rapport (Norges vassdrags- og energidirektorat)","06-Jun-2023 12:22:29","Rapport (Norges vassdrags- og energidirektorat)","1","1501-2832","","","Ikke tildelt","Ikke tildelt","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","","","","","","Norges vassdrags- og energidirektorat","Norge","","0","http://www.nve.no/modules/module_109/publisher_view_product.asp?iEntityId=8836&mids=1339"
"450188","Rapport (Norsk kulturråd)","08-Feb-2016 14:36:49","Rapport (Norsk kulturråd)","0","0806-5802","","","Ikke tildelt","Ikke tildelt","","","","","","","","","","","","","","","","","","","","0","","","","2004","","","Norge","","0","NA"
"450189","Rapport (Norsk senter for barneforskning)","08-Feb-2016 14:36:49","Rapport (Norsk senter for barneforskning)","0","0802-6319","","","Ikke tildelt","Ikke tildelt","","","","","","","","","","","","","","","","","","","","0","","","","1999","","","Norge","","0","NA"
"450190","Rapport (Statens naturvårdsverk)","06-Jun-2023 12:22:29","Rapport (Statens naturvårdsverk)","1","0282-7298","","","Ikke tildelt","Ikke tildelt","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","","","","","","","Sverige","","0","NA"
"450191","Rapport (Institutt for medier og kommunikasjon, Universitetet i Oslo)","08-Feb-2016 14:36:49","Rapport (Institutt for medier og kommunikasjon, Universitetet i Oslo)","0","0802-1872","","","Ikke tildelt","Ikke tildelt","","","","","","","","","","","","","","","","","","","","0","","","1988","1993","","Institutt for medier og kommunikasjon","","","0","http://www.media.uio.no/"
"450192","Rapport (Seksjon for arbeids- og trygdemedisin, Universitetet i Oslo)","08-Feb-2016 14:36:49","Rapport (Seksjon for arbeids- og trygdemedisin, Universitetet i Oslo)","0","0808-0046","","","Ikke tildelt","Ikke tildelt","","","","","","","","","","","","","","","","","","","","0","","","1996","1999","","Seksjon for arbeids- og trygdemedisin","Norge","","0","http://www.med.uio.no/iasam/arbeidstrygd/"
"450193","Rapport (Institutt for helseledelse og helseøkonomi, Universitetet i Oslo)","08-Feb-2016 14:36:49","Rapport (Institutt for helseledelse og helseøkonomi, Universitetet i Oslo)","0","0808-7857","","","Ikke tildelt","Ikke tildelt","","","","","","","","","","","","","","","","","","","","0","","","1996","2003","","Institutt for helseledelse og helseøkonomi","Norge","","0","http://www.med.uio.no/heled/publikasjoner/"
"450194","Rapport (Universitetsbiblioteket i Trondheim)","08-Feb-2016 14:36:49","Rapport (Universitetsbiblioteket i Trondheim)","0","0802-2836","","","Ikke tildelt","Ikke tildelt","","","","","","","","","","","","","","","","","","","","0","","","","1996","","","Norge","","0","NA"
"450195","Rapport (Västsvensk kultur och samhällsutveckling genom tiderna ()","06-Jun-2023 12:22:29","Rapport (Västsvensk kultur och samhällsutveckling genom tiderna ()","1","1103-1018","","","Ikke tildelt","Ikke tildelt","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","","","","","","","","","0","NA"
