"Tidsskrift id","Original tittel","Sist endret","Internasjonal tittel","Aktiv","Print ISSN","Online ISSN","Open Access","NPI Fagfelt","NPI Fagområde","Nivå 2024","Nivå 2023","Nivå 2022","Nivå 2021","Nivå 2020","Nivå 2019","Nivå 2018","Nivå 2017","Nivå 2016","Nivå 2015","Nivå 2014","Nivå 2013","Nivå 2012","Nivå 2011","Nivå 2010","Nivå 2009","Nivå 2008","Nivå 2007","Nivå 2006","Nivå 2005","Nivå 2004","Forlag id","Etablert år","Nedlagt år","Forlag","Utgiver","Utgiverland","Språk","Konferanserapport","Url"
"340512","Ethnos","18-Aug-2023 13:56:25","Ethnos","1","0014-1844","1469-588X","","Sosialantropologi","Samfunnsvitenskap","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","18402","1936","","Routledge","","Storbritannia","Engelsk","0","http://www.tandfonline.com/toc/retn20/current"
"340515","Utposten","06-Jun-2023 12:22:29","Utposten","1","0800-5680","1893-1758","","Ikke tildelt","Ikke tildelt","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","","","","","","","Norge","","0","http://www.uib.no/isf/utposten/utposten.htm"
"340516","Vitamines and Hormones","18-Aug-2023 13:56:25","Vitamines and Hormones","1","0083-6729","","","Biomedisin","Medisin og helsefag","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1943","","","","USA","","0","http://www.elsevier.com/"
"340517","Animal Genetics","18-Aug-2023 13:56:25","Animal Genetics","1","0268-9146","1365-2052","","Biovitenskap","Realfag og teknologi","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1986","","","Blackwell Science Ltd.","Storbritannia","","0","http://www.blackwell-science.com/~cgilib/jnlpage.bin?Journal=AGEN&File=AGEN&Page=aims"
"340521","International Journal of Biochemistry and Cell Biology","18-Aug-2023 13:56:25","International Journal of Biochemistry and Cell Biology","1","1357-2725","1878-5875","","Biomedisin","Medisin og helsefag","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","18173","1995","","Elsevier","","Nederland","","0","http://www.sciencedirect.com/science/journal/13572725"
"340523","American Sociological Review","18-Aug-2023 13:56:25","American Sociological Review","1","0003-1224","1939-8271","","Sosiologi","Samfunnsvitenskap","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","","1936","","","American Sociological Association","USA","Engelsk","0","https://journals.sagepub.com/home/asr"
"340524","Canadian Journal of Economics","18-Aug-2023 13:56:25","Canadian Journal of Economics","1","0008-4085","1540-5982","","Samfunnsøkonomi","Samfunnsvitenskap","","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","1","1","","1968","","","","Canada","","0","http://economics.ca/cje/"
"340526","Nordisk tidsskrift for specialpedagogikk","15-Feb-2016 14:02:49","Nordisk tidsskrift for specialpedagogikk","0","0048-0509","","","Pedagogikk og utdanning","Samfunnsvitenskap","","","","","","","","","","","","","","","","","","","","","1","18455","1960","2004","Universitetsforlaget","","Norge","","0","http://www.idunn.no/ts/spesped"
"340527","Electrophoresis","18-Aug-2023 13:56:25","Electrophoresis","1","0173-0835","1522-2683","","Biomedisin","Medisin og helsefag","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1980","","","Wiley-Liss Inc.","Tyskland","","0","http://www.wiley-vch.de/publish/en/journals/alphabeticIndex/2027/"
"340531","Journal of Environmental Economics and Management","18-Aug-2023 13:56:25","Journal of Environmental Economics and Management","1","0095-0696","1096-0449","","Samfunnsøkonomi","Samfunnsvitenskap","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","18042","1974","","Academic Press","","USA","","0","http://www.sciencedirect.com/science/journal/00950696"
"340535","American Journal of Tropical Medicine and Hygiene","18-Aug-2023 13:56:25","American Journal of Tropical Medicine and Hygiene","1","0002-9637","1476-1645","","Samfunnsmedisin","Medisin og helsefag","","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","1","1","2","","1952","","","HighWire Press","USA","","0","http://www.ajtmh.org/"
"340536","Journal of Experimental Zoology","26-May-2021 17:05:10","Journal of Experimental Zoology","0","0022-104X","1097-010X","","Biovitenskap","Realfag og teknologi","","","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","","1904","2002","","Wiley-Liss Inc.","USA","Engelsk","0","https://onlinelibrary.wiley.com/journal/24715646?tabActivePane="
"340538","Cortex","18-Aug-2023 13:56:25","Cortex","1","0010-9452","1973-8102","","Nevrologi","Medisin og helsefag","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","18173","1964","","Elsevier","","Italia","Engelsk","0","http://www.sciencedirect.com/science/journal/00109452"
"340539","Journal of Economic Education","18-Aug-2023 13:56:25","Journal of Economic Education","1","0022-0485","2152-4068","","Samfunnsøkonomi","Samfunnsvitenskap","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","18442","1969","","Taylor & Francis","","USA","Engelsk","0","http://www.indiana.edu/~econed/"
