"Tidsskrift id","Original tittel","Sist endret","Internasjonal tittel","Aktiv","Print ISSN","Online ISSN","Open Access","NPI Fagfelt","NPI Fagområde","Nivå 2024","Nivå 2023","Nivå 2022","Nivå 2021","Nivå 2020","Nivå 2019","Nivå 2018","Nivå 2017","Nivå 2016","Nivå 2015","Nivå 2014","Nivå 2013","Nivå 2012","Nivå 2011","Nivå 2010","Nivå 2009","Nivå 2008","Nivå 2007","Nivå 2006","Nivå 2005","Nivå 2004","Forlag id","Etablert år","Nedlagt år","Forlag","Utgiver","Utgiverland","Språk","Konferanserapport","Url"
"437639","American Zoologist","06-Jun-2023 12:22:29","American Zoologist","1","0003-1569","2162-4445","","Biovitenskap","Realfag og teknologi","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1961","","","The Society for Integrative and Comparative Biolog","USA","","0","http://www.bioone.org/bioone/?request=get-journals-list&issn=0003-1569"
"437640","America's Network","15-Feb-2016 14:02:49","America's Network","0","1075-5292","","","Økonomisk-administrative fag","Samfunnsvitenskap","","","","","","","","","","","","","","","","","","","1","1","1","","1994","2006","","Questex Media Group","USA","","0","http://www.americasnetwork.com/americasnetwork/"
"437641","Amérindia. Numéro spécial","15-Aug-2023 13:31:38","Amérindia. Numéro spécial","1","0291-915X","","","Sosialantropologi","Samfunnsvitenskap","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1981","","","","Frankrike","","0","http://celia.cnrs.fr/Fr/Amerindia.htm"
"437642","Amphibia-Reptilia","18-Aug-2023 13:56:25","Amphibia-Reptilia","1","0173-5373","1568-5381","","Biovitenskap","Realfag og teknologi","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","18109","1980","","Brill Academic Publishers","","Internasjonal","Flerspråklig","0","http://booksandjournals.brillonline.com/content/journals/15685381"
"437643","AmS-rapport","08-Jun-2023 11:39:34","AmS-rapport","1","0802-4936","","","Arkeologi og konservering","Humaniora","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1989","","","Arkeologisk museum i Stavanger","Norge","","0","NA"
"437644","Amsterdamer Beiträge zur neueren Germanistik","08-Jun-2023 11:42:57","Amsterdamer Beiträge zur neueren Germanistik","1","0304-6257","1875-726X","","Tysk og nederlandsk","Humaniora","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","18399","1972","","Brill|Rodopi","","Nederland","Tysk","0","http://www.brill.com/products/series/amsterdamer-beitrage-zur-neueren-germanistik"
"437645","Amyotrophic Lateral Sclerosis and other Motor Neuron Disorders","15-Aug-2023 13:31:38","Amyotrophic Lateral Sclerosis and other Motor Neuron Disorders","1","1466-0822","1743-4483","","Nevrologi","Medisin og helsefag","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","18442","1999","","Taylor & Francis","","Storbritannia","","0","http://www.tandf.co.uk/journals/titles/14660822.asp"
"437646","Anaerobe","18-Aug-2023 13:56:25","Anaerobe","1","1075-9964","1095-8274","","Biovitenskap","Realfag og teknologi","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","18173","1995","","Elsevier","","USA","","0","http://www.sciencedirect.com/science/journal/10759964"
"437647","Anaesthesia","18-Aug-2023 13:56:25","Anaesthesia","1","0003-2409","1365-2044","","Anestesi, intensiv, akutt","Medisin og helsefag","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","13245","1946","","Blackwell Publishing","","Storbritannia","","0","http://www.blackwellpublishing.com/journal.asp?ref=0003-2409"
"437648","Anaesthesia and Intensive Care","18-Aug-2023 13:56:25","Anaesthesia and Intensive Care","1","0310-057X","1448-0271","","Anestesi, intensiv, akutt","Medisin og helsefag","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1972","","","The Australian Society of Anaesthetists ","Australia","","0","http://www.aaic.net.au/"
"437649","Anaesthesist","18-Aug-2023 13:54:28","Anaesthesist","1","0003-2417","1432-055X","","Anestesi, intensiv, akutt","Medisin og helsefag","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","22512","1952","","Springer","","Tyskland","","0","http://www.springerlink.com/content/0003-2417/"
"437650","Anais da Academia Brasileiras de Ciências","18-Aug-2023 13:56:25","Anais da Academia Brasileiras de Ciências","1","0001-3765","1678-2690","DOAJ","Tverrfaglig naturvitenskap og medisin","Realfag og teknologi","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1929","","","Academia Brasileira de Ciências","Brasil","","0","http://www.scielo.br/scielo.php/script_sci_serial/pid_0001-3765/lng_en/nrm_iso"
"437651","Analecta Bollandiana","08-Jun-2023 11:42:57","Analecta Bollandiana","1","0003-2468","","","Teologi og religionsvitenskap","Humaniora","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","18108","1882","","Brepols","Société des Bollandistes","Belgia","Flerspråklig","0","http://www.bollandistes.org/publications-analecta.php?pg=journal&n=111"
"437652","Analecta Papyrologica","08-Jun-2023 11:42:57","Analecta Papyrologica","1","1122-2336","","","Gresk og latin","Humaniora","","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","1","","1989","","","Università di Messina. Facoltà di lettere e filosofia","Italia","Italiensk","0","http://www.sicania.me.it/commerce/14-analecta-papyrologica"
"437653","Analecta Romana Instituti Danici","08-Jun-2023 11:42:57","Analecta Romana Instituti Danici","1","0066-1392","2035-2506","","Kunsthistorie","Humaniora","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1960","","","Accademia di Danimarca (Det Danske Institut i Rom)","Italia","Flerspråklig","0","http://www.acdan.it/analecta/"
