"Tidsskrift id","Original tittel","Sist endret","Internasjonal tittel","Aktiv","Print ISSN","Online ISSN","Open Access","NPI Fagfelt","NPI Fagområde","Nivå 2024","Nivå 2023","Nivå 2022","Nivå 2021","Nivå 2020","Nivå 2019","Nivå 2018","Nivå 2017","Nivå 2016","Nivå 2015","Nivå 2014","Nivå 2013","Nivå 2012","Nivå 2011","Nivå 2010","Nivå 2009","Nivå 2008","Nivå 2007","Nivå 2006","Nivå 2005","Nivå 2004","Forlag id","Etablert år","Nedlagt år","Forlag","Utgiver","Utgiverland","Språk","Konferanserapport","Url"
"476284","Trikster","06-Jun-2023 12:22:29","Trikster","1","","1890-596X","","Kjønnsforskning","Samfunnsvitenskap","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","2008","","","","Danmark","Norsk (bokmål)","0","http://www.trikster.net/archive/index.html"
"476285","CRIN (Cahiers de recherche des instituts néerlandais de langue et de littérature française)","15-Aug-2023 13:31:38","CRIN (Cahiers de recherche des instituts néerlandais de langue et de littérature française)","1","0169-894X","1875-6751","","Litteraturvitenskap","Humaniora","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","","","","","18109","1979","","Brill Academic Publishers","","Nederland","Engelsk","0","http://www.brill.com/products/series/crin-cahiers-de-recherche-des-instituts-neerlandais-de-langue-et-de-litterature-francaise"
"476286","Current Opinion in Environmental Sustainability","18-Aug-2023 13:56:25","Current Opinion in Environmental Sustainability","1","1877-3435","1877-3443","","Tverrfaglig teknologi","Realfag og teknologi","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","","","","","18173","2009","","Elsevier","","Nederland","Engelsk","0","http://www.sciencedirect.com/science/journal/18773435"
"476287","Public Law","18-Aug-2023 13:56:25","Public Law","1","0033-3565","","","Rettsvitenskap","Samfunnsvitenskap","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","","","","","18993","1956","","Sweet & Maxwell","","Storbritannia","Engelsk","0","http://www.sweetandmaxwell.co.uk/Catalogue/ProductDetails.aspx?recordid=469&productid=7106"
"476288","International Journal of Quality Engineering and Technology","18-Aug-2023 13:56:25","International Journal of Quality Engineering and Technology","1","1757-2177","1757-2185","","Konstruksjonsfag","Realfag og teknologi","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","","","","","17842","2010","","InderScience Publishers","","Storbritannia","Engelsk","0","http://www.inderscience.com/browse/index.php?journalCODE=ijqet"
"476289","Gothenburg Slavic Studies","06-Jun-2023 12:22:29","Gothenburg Slavic Studies","1","2000-1134","","","Lingvistikk","Humaniora","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","2008","","","Göteborgs Universitet","Sverige","Engelsk","0","http://www.sprak.gu.se/publikationer/skriftserier/"
"476290","Journal of Chinese Religions","18-Aug-2023 13:56:25","Journal of Chinese Religions","1","0737-769X","2050-8999","","Teologi og religionsvitenskap","Humaniora","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","","","","","18311","1982","","Maney Publishing","","USA","Engelsk","0","http://www.maneyonline.com/JCR"
"476291","Münster Journal of Mathematics","08-Jun-2023 11:42:57","Münster Journal of Mathematics","1","1867-5778","1867-5786","","Matematikk","Realfag og teknologi","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","","","","","","2008","","","Universität Münster","Tyskland","Tysk","0","http://wwwmath.uni-muenster.de/mjm/index.html"
"476292","Studies in Variation, Contacts and Change in English","08-Jun-2023 11:42:57","Studies in Variation, Contacts and Change in English","1","","1797-4453","","Engelsk","Humaniora","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","","","","","6502","2007","","Helsingfors universitet","","Finland","Engelsk","0","http://www.helsinki.fi/varieng/series/index.html"
"476293","European Review of Contract Law (ERCL)","18-Aug-2023 13:56:25","European Review of Contract Law (ERCL)","1","1614-9920","1614-9939","","Rettsvitenskap","Samfunnsvitenskap","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","","","","","","","18493","2005","","Walter de Gruyter (De Gruyter)","","Tyskland","Flerspråklig","0","http://www.degruyter.com/view/j/ercl"
"476294","Journal of Service Science and Management","08-Jun-2023 11:40:28","Journal of Service Science and Management","1","1940-9893","1940-9907","","Økonomisk-administrative fag","Samfunnsvitenskap","","0","0","0","0","0","0","0","0","0","0","0","1","1","1","","","","","","","22903","2007","","Scientific Research Publishing (SCIRP)","","USA","Engelsk","0","http://www.scirp.org/journal/jssm/"
"476295","Topics in Medicinal Chemistry","18-Aug-2023 13:56:25","Topics in Medicinal Chemistry","1","1862-2461","1862-247X","","Biovitenskap","Realfag og teknologi","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","","","","","22512","2007","","Springer","","Nederland","Engelsk","0","http://www.springer.com/series/7355"
"476297","The Historic Environment","18-Aug-2023 13:56:25","The Historic Environment","1","1756-7505","1756-7513","","Arkeologi og konservering","Humaniora","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","","","","","18311","2010","","Maney Publishing","","Storbritannia","Engelsk","0","http://www.maney.co.uk/index.php/journals/hen/"
"476298","Beiträge zur Zikadenkunde","08-Feb-2016 14:36:49","Beiträge zur Zikadenkunde","0","1434-2065","","","Biovitenskap","Realfag og teknologi","","","","","","","","","","","","","","","0","","","","","","","","1997","2009","","Beiträge zur Zikadenkunde","Tyskland","Tysk","0","http://wwwuser.gwdg.de/~hnickel/beitr.htm#manuskriptrichtlinien"
"476299","Remote Sensing","18-Aug-2023 13:56:25","Remote Sensing","1","","2072-4292","DOAJ","Tverrfaglig naturvitenskap og medisin","Realfag og teknologi","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","","","","","26778","2009","","MDPI","","Sveits","Engelsk","0","http://www.mdpi.com/journal/remotesensing/index"
"476300","Pedagogies: An International Journal","18-Aug-2023 13:56:25","Pedagogies: An International Journal","1","1554-480X","1554-4818","","Pedagogikk og utdanning","Samfunnsvitenskap","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","","","","","18442","2006","","Taylor & Francis","","USA","Engelsk","0","https://www.tandfonline.com/toc/hped20/current"
"476301","Journal of chemical biology","08-Jun-2023 11:39:34","Journal of chemical biology","1","1864-6158","1864-6166","","Biomedisin","Medisin og helsefag","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","","","","","22512","2008","","Springer","","Nederland","Engelsk","0","http://www.springer.com/chemistry/physical/journal/12154?detailsPage=description"
"476302","Marine Biodiversity Records","18-Aug-2023 13:56:25","Marine Biodiversity Records","1","","1755-2672","","Biovitenskap","Realfag og teknologi","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","","","","","16994","2008","","BioMed Central (BMC)","The Marine Biological Association","Storbritannia","Engelsk","0","https://mbr.biomedcentral.com/"
"476303","Environmental Microbiology Reports","18-Aug-2023 13:56:25","Environmental Microbiology Reports","1","","1758-2229","","Biovitenskap","Realfag og teknologi","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","","","","","18270","2009","","John Wiley & Sons","Society for Applied Microbiology","Storbritannia","Engelsk","0","https://sfamjournals.onlinelibrary.wiley.com/journal/17582229"
