"Tidsskrift id","Original tittel","Sist endret","Internasjonal tittel","Aktiv","Print ISSN","Online ISSN","Open Access","NPI Fagfelt","NPI Fagområde","Nivå 2024","Nivå 2023","Nivå 2022","Nivå 2021","Nivå 2020","Nivå 2019","Nivå 2018","Nivå 2017","Nivå 2016","Nivå 2015","Nivå 2014","Nivå 2013","Nivå 2012","Nivå 2011","Nivå 2010","Nivå 2009","Nivå 2008","Nivå 2007","Nivå 2006","Nivå 2005","Nivå 2004","Forlag id","Etablert år","Nedlagt år","Forlag","Utgiver","Utgiverland","Språk","Konferanserapport","Url"
"478630","Springer briefs in education","08-Jun-2023 11:39:34","Springer briefs in education","1","2211-1921","2211-193X","","Pedagogikk og utdanning","Samfunnsvitenskap","","1","1","1","1","1","1","1","1","0","0","0","0","","","","","","","","","22512","2011","","Springer","","Nederland","Engelsk","0","http://www.springer.com/series/8914"
"478631","Recherches de Théologie et Philosophie médiévales","18-Aug-2023 13:56:25","Recherches de Théologie et Philosophie médiévales","1","1370-7493","1783-1717","","Filosofi","Humaniora","","1","1","1","1","1","1","1","1","1","1","1","1","","","","","","","","","18369","1997","","Peeters Publishers","","Belgia","Flerspråklig","0","http://poj.peeters-leuven.be/content.php?url=journal&journal_code=RTPM"
"478632","European Journal of Preventive Cardiology (EJPC)","18-Aug-2023 13:56:25","European Journal of Preventive Cardiology (EJPC)","1","2047-4873","2047-4881","","Hjerte, kar og luftveier","Medisin og helsefag","2","2","2","2","2","2","1","1","1","1","1","1","1","","","","","","","","","18364","2012","","Oxford University Press","","Storbritannia","Engelsk","0","https://academic.oup.com/eurjpc"
"478633","Arab World English Journal","15-Aug-2023 13:31:38","Arab World English Journal","1","","2229-9327","","Engelsk","Humaniora","0","1","1","1","1","1","1","1","1","1","1","1","1","","","","","","","","","","2010","","","","Malaysia","Engelsk","0","http://www.awej.org"
"478634","Journal of English as a Lingua Franca","18-Aug-2023 13:56:25","Journal of English as a Lingua Franca","1","2191-9216","2191-933X","","Engelsk","Humaniora","","1","1","1","1","1","1","1","1","1","1","1","1","","","","","","","","","18493","2012","","Walter de Gruyter (De Gruyter)","","Tyskland","Engelsk","0","http://www.degruyter.com/view/j/jelf"
"478635","Biblische Notizen Neue Folge","18-Aug-2023 13:56:25","Biblische Notizen Neue Folge","1","0178-2967","","","Teologi og religionsvitenskap","Humaniora","","1","1","1","1","1","1","1","1","1","1","1","1","","","","","","","","","18218","1976","","Herder Verlag","","Østerrike","Tysk","0","https://www.uni-salzburg.at/bwkg/bn.nf"
"478636","The Latin Americanist","06-Jun-2023 12:22:29","The Latin Americanist","1","1557-2021","1557-203X","","Tverrfaglig humanistisk forskning","Humaniora","","1","1","1","1","1","1","1","1","1","1","1","1","","","","","","","","","18270","2004","","John Wiley & Sons","","USA","Engelsk","0","http://www.wiley.com/bw/journal.asp?ref=1557-2021&site=1"
"478637","International Journal of Population Research","04-Aug-2022 14:46:30","International Journal of Population Research","0","2090-4029","2090-4037","","Sosiologi","Samfunnsvitenskap","","","","1","1","1","1","1","1","1","1","1","1","","","","","","","","","18220","2010","2018","Hindawi Limited","","Egypt","Engelsk","0","https://www.hindawi.com/journals/ijpr/"
"478638","Politics, Religion & Ideology","18-Aug-2023 13:56:25","Politics, Religion & Ideology","1","2156-7689","2156-7697","","Statsvitenskap","Samfunnsvitenskap","","1","1","1","1","1","1","1","1","1","1","1","1","","","","","","","","","18402","2000","","Routledge","","Storbritannia","Engelsk","0","http://www.tandf.co.uk/journals/ftmp"
"478639","International Journal of Polymer Science","18-Aug-2023 13:56:25","International Journal of Polymer Science","1","1687-9422","1687-9430","DOAJ","Kjemi og materialteknologi","Realfag og teknologi","","1","1","1","1","1","1","1","1","1","1","1","1","","","","","","","","","18220","2008","","Hindawi Limited","","Storbritannia","Engelsk","0","https://www.hindawi.com/journals/ijps/"
