"Tidsskrift id","Original tittel","Sist endret","Internasjonal tittel","Aktiv","Print ISSN","Online ISSN","Open Access","NPI Fagfelt","NPI Fagområde","Nivå 2024","Nivå 2023","Nivå 2022","Nivå 2021","Nivå 2020","Nivå 2019","Nivå 2018","Nivå 2017","Nivå 2016","Nivå 2015","Nivå 2014","Nivå 2013","Nivå 2012","Nivå 2011","Nivå 2010","Nivå 2009","Nivå 2008","Nivå 2007","Nivå 2006","Nivå 2005","Nivå 2004","Forlag id","Etablert år","Nedlagt år","Forlag","Utgiver","Utgiverland","Språk","Konferanserapport","Url"
"442913","Journal of Family Communication","18-Aug-2023 13:56:25","Journal of Family Communication","1","1526-7431","1532-7698","","Psykologi","Medisin og helsefag","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","2001","","","","USA","","0","http://www.catchword.com/erlbaum/15267431/contp1-1.htm"
"442914","Journal of Family Issues","18-Aug-2023 13:56:25","Journal of Family Issues","1","0192-513X","1552-5481","","Sosiologi","Samfunnsvitenskap","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","18411","1980","","Sage Publications","","USA","Engelsk","0","http://jfi.sagepub.com/"
"442915","Journal of Family Nursing","18-Aug-2023 13:56:25","Journal of Family Nursing","1","1074-8407","1552-549X","","Sykepleie","Medisin og helsefag","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1995","","","","USA","","0","http://www.sagepub.com/journal.aspx?pid=28"
"442916","Journal of family planning and reproductive health care","15-Aug-2023 13:31:38","Journal of family planning and reproductive health care","1","1471-1893","2045-2098","","Samfunnsmedisin","Medisin og helsefag","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","2001","","","","","","0","http://group.bmj.com/"
"442917","Journal of Family Practice","18-Aug-2023 13:56:25","Journal of Family Practice","1","0094-3509","1533-7294","","Samfunnsmedisin","Medisin og helsefag","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1974","","","","","","0","NA"
"442918","Journal of Family Psychology","18-Aug-2023 13:56:25","Journal of Family Psychology","1","0893-3200","1939-1293","","Psykologi","Medisin og helsefag","2","2","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","18063","1987","","American Psychological Association (APA)","","USA","Engelsk","0","http://www.apa.org/pubs/journals/fam/index.aspx"
"442919","Journal of Family Psychotherapy","01-Oct-2021 15:00:41","Journal of Family Psychotherapy","0","0897-5353","1540-4080","","Psykologi","Medisin og helsefag","","","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","18442","1990","2020","Taylor & Francis","","USA","Engelsk","0","https://www.tandfonline.com/toc/wjfp20/current"
"442920","Journal of Family Social Work","18-Aug-2023 13:56:25","Journal of Family Social Work","1","1052-2158","1540-4072","","Sosialforskning","Samfunnsvitenskap","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1995","","","","USA","","0","http://www.routledge.com/"
"442921","Journal of Family Therapy","18-Aug-2023 13:56:25","Journal of Family Therapy","1","0163-4445","1467-6427","","Psykologi","Medisin og helsefag","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","18270","1979","","John Wiley & Sons","The Association of Family Therapy and Systemic Practice","Storbritannia","Engelsk","0","https://onlinelibrary.wiley.com/journal/14676427"
"442922","Journal of Family Violence","18-Aug-2023 13:56:25","Journal of Family Violence","1","0885-7482","1573-2851","","Psykologi","Medisin og helsefag","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","19045","1986","","Springer Science+Business Media B.V.","","USA","Engelsk","0","http://www.springer.com/medicine/journal/10896"
