"Tidsskrift id","Original tittel","Sist endret","Internasjonal tittel","Aktiv","Print ISSN","Online ISSN","Open Access","NPI Fagfelt","NPI Fagområde","Nivå 2024","Nivå 2023","Nivå 2022","Nivå 2021","Nivå 2020","Nivå 2019","Nivå 2018","Nivå 2017","Nivå 2016","Nivå 2015","Nivå 2014","Nivå 2013","Nivå 2012","Nivå 2011","Nivå 2010","Nivå 2009","Nivå 2008","Nivå 2007","Nivå 2006","Nivå 2005","Nivå 2004","Forlag id","Etablert år","Nedlagt år","Forlag","Utgiver","Utgiverland","Språk","Konferanserapport","Url"
"483801","Revue d' Etudes Augustiniennes et Patristiques","18-Aug-2023 13:56:25","Revue d' Etudes Augustiniennes et Patristiques","1","1768-9260","2428-3606","","Teologi og religionsvitenskap","Humaniora","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","18108","2004","","Brepols","Institut d'Études Augustiniennes","Frankrike","Fransk","0","http://www.brepolsonline.net/loi/rea"
"483802","Bolivian Studies Journal","18-Aug-2023 13:56:25","Revista de Estundios Bolivianos","1","1074-2247","2156-5163","DOAJ","Kulturvitenskap","Humaniora","","1","1","1","1","1","1","1","1","1","1","","","","","","","","","","","","1990","","","University of Pittsburgh, University Library System","USA","Engelsk","0","http://bsj.pitt.edu/"
"483803","Central Asian Journal of Global Health","06-Jun-2023 12:22:29","Central Asian Journal of Global Health","1","","2166-7403","DOAJ","Sosialforskning","Samfunnsvitenskap","","1","1","1","1","1","1","1","1","1","1","","","","","","","","","","","","2012","","","University Library System, University of Pittsburgh","USA","Engelsk","0","http://cajgh.pitt.edu/"
"483804","CINEJ Cinema Journal","06-Jun-2023 12:22:29","CINEJ Cinema Journal","1","2159-2411","2158-8724","DOAJ","Medier og kommunikasjon","Humaniora","","1","1","1","1","1","1","1","1","1","1","","","","","","","","","","","","2011","","","University of Pittsburgh Press","USA","Engelsk","0","http://cinej.pitt.edu/"
"483805","Contemporaneity","06-Jun-2023 12:22:29","Contemporaneity: Historical Presence in Visual Culture","1","","2153-5914","DOAJ","Kunsthistorie","Humaniora","","1","1","1","1","1","1","1","1","1","1","","","","","","","","","","","","2011","","","University of Pittsburgh, University Library System","USA","Engelsk","0","http://contemporaneity.pitt.edu/"
"483806","Dentistry 3000","18-Aug-2023 13:56:25","Dentistry 3000","1","","2167-8677","DOAJ","Odontologi","Medisin og helsefag","","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","2013","","","University of Pittsburgh, University Library System","USA","Engelsk","0","http://dentistry3000.pitt.edu/"
"483807","Excellence in Higher Education","15-Aug-2023 13:31:38","Excellence in Higher Education","1","2153-9669","2153-9677","","Pedagogikk og utdanning","Samfunnsvitenskap","0","1","1","1","1","1","1","1","1","1","1","","","","","","","","","","","","2010","","","University of Pittsburgh, University Library System","USA","Engelsk","0","http://ehe.pitt.edu/"
"483808","Forbes and Fifth","06-Jun-2023 12:22:29","Forbes and Fifth","1","","2332-7863","","Tverrfaglig humanistisk forskning","Humaniora","","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","2012","","","University of Pittsburgh, University Library System","USA","Engelsk","0","http://forbes5.pitt.edu/"
"483809","Health, Culture and Society","04-Aug-2022 14:46:30","Health, Culture and Society","0","","2161-6590","","Sosialforskning","Samfunnsvitenskap","","","","1","1","1","1","1","1","1","1","","","","","","","","","","","","2011","2017","","University of Pittsburgh, University Library System","USA","Engelsk","0","http://hcs.pitt.edu/ojs/index.php/hcs"
"483810","International Journal of Telerehabilitation","18-Aug-2023 13:56:25","International Journal of Telerehabilitation","1","","1945-2020","DOAJ","Rehabilitering, fysioterapi, ergoterapi og ortopediingeniørfag","Medisin og helsefag","","1","1","1","1","1","1","1","1","1","1","","","","","","","","","","","","2009","","","University of Pittsburgh, University Library System","USA","Engelsk","0","http://telerehab.pitt.edu/"
