"Tidsskrift id","Original tittel","Sist endret","Internasjonal tittel","Aktiv","Print ISSN","Online ISSN","Open Access","NPI Fagfelt","NPI Fagområde","Nivå 2024","Nivå 2023","Nivå 2022","Nivå 2021","Nivå 2020","Nivå 2019","Nivå 2018","Nivå 2017","Nivå 2016","Nivå 2015","Nivå 2014","Nivå 2013","Nivå 2012","Nivå 2011","Nivå 2010","Nivå 2009","Nivå 2008","Nivå 2007","Nivå 2006","Nivå 2005","Nivå 2004","Forlag id","Etablert år","Nedlagt år","Forlag","Utgiver","Utgiverland","Språk","Konferanserapport","Url"
"468878","International Journal of Knowledge Management","18-Aug-2023 13:56:25","International Journal of Knowledge Management","1","1548-0666","1548-0658","","Økonomisk-administrative fag","Samfunnsvitenskap","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","19014","2005","","Idea Group Publishing","","USA","","0","http://www.idea-group.com/journals/details.asp?id=4288"
"468879","International Journal of Learning Technology","18-Aug-2023 13:56:25","International Journal of Learning Technology","1","1477-8386","1741-8119","","Pedagogikk og utdanning","Samfunnsvitenskap","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","17842","2004","","InderScience Publishers","","USA","Engelsk","0","https://www.inderscience.com/jhome.php?jcode=ijlt"
"468880","International Journal of Management and Enterprise Development","18-Aug-2023 13:56:25","International Journal of Management and Enterprise Development","1","1468-4330","1741-8127","","Økonomisk-administrative fag","Samfunnsvitenskap","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","17842","2003","","InderScience Publishers","","USA","","0","https://www.inderscience.com/browse/index.php?journalID=89"
"468881","International Journal of Web Based Communities","18-Aug-2023 13:56:25","International Journal of Web Based Communities","1","1477-8394","1741-8216","","Biblioteks- og informasjonsvitenskap","Samfunnsvitenskap","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","17842","2004","","InderScience Publishers","","USA","","0","https://www.inderscience.com/browse/index.php?journalID=50"
"468882","International Journal of Web Services Research","18-Aug-2023 13:56:25","International Journal of Web Services Research","1","1545-7362","1546-5004","","Biblioteks- og informasjonsvitenskap","Samfunnsvitenskap","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","19014","2004","","Idea Group Publishing","","USA","","0","http://www.idea-group.com/journals/details.asp?id=4138"
"468883","International Journal on Semantic Web and Information Systems (IJSWIS)","18-Aug-2023 13:56:25","International Journal on Semantic Web and Information Systems (IJSWIS)","1","1552-6283","1552-6291","","Biblioteks- og informasjonsvitenskap","Samfunnsvitenskap","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","20555","2005","","IGI Global","","USA","Engelsk","0","http://www.igi-global.com/ijswis"
"468884","Issues in Informing Science and Information Technology (IISIT)","08-Jun-2023 11:42:57","Issues in Informing Science and Information Technology (IISIT)","1","1547-5840","1547-5867","","Biblioteks- og informasjonsvitenskap","Samfunnsvitenskap","","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","19135","2004","","Informing Science Institute","","USA","Engelsk","0","http://iisit.org/"
"468885","JITTA: Journal of Information Technology Theory & Application","15-Aug-2023 13:31:38","JITTA: Journal of Information Technology Theory & Application","1","1552-6496","1532-4516","","Biblioteks- og informasjonsvitenskap","Samfunnsvitenskap","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","19381","2003","","Ken Peffers","","USA","","0","http://aisel.aisnet.org/jitta/"
"468886","Journal for the Study of British Cultures","15-Aug-2023 13:31:38","Journal for the Study of British Cultures","1","0944-9094","","","Engelsk","Humaniora","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","18205","1994","","Gunter Narr Verlag","","Tyskland","","0","http://www.jsbc.de/"
"468887","Journal of Bioethical Inquiry","18-Aug-2023 13:56:25","Journal of Bioethical Inquiry","1","1176-7529","1872-4353","","Samfunnsmedisin","Medisin og helsefag","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","22512","2004","","Springer","","Nederland","Engelsk","0","http://link.springer.com/journal/11673"
"468888","Journal of Community Informatics","08-Jun-2023 11:39:34","Journal of Community Informatics","1","","1712-4441","DOAJ","IKT","Realfag og teknologi","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","","","","University of Illinois","USA","","0","http://ci-journal.net/index.php"
"468889","Journal of e.Commerce and Psychology","15-Aug-2023 13:31:38","Journal of e.Commerce and Psychology","1","1530-3209","","","Økonomisk-administrative fag","Samfunnsvitenskap","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","19384","2001","","BPRI Press","","USA","","0","http://shop.store.yahoo.com/bpri/jourofbusand.html"
