"Tidsskrift id","Original tittel","Sist endret","Internasjonal tittel","Aktiv","Print ISSN","Online ISSN","Open Access","NPI Fagfelt","NPI Fagområde","Nivå 2024","Nivå 2023","Nivå 2022","Nivå 2021","Nivå 2020","Nivå 2019","Nivå 2018","Nivå 2017","Nivå 2016","Nivå 2015","Nivå 2014","Nivå 2013","Nivå 2012","Nivå 2011","Nivå 2010","Nivå 2009","Nivå 2008","Nivå 2007","Nivå 2006","Nivå 2005","Nivå 2004","Forlag id","Etablert år","Nedlagt år","Forlag","Utgiver","Utgiverland","Språk","Konferanserapport","Url"
"470352","Journal of Noncommutative Geometry","18-Aug-2023 13:56:25","Journal of Noncommutative Geometry","1","1661-6952","1661-6960","DOAJ","Matematikk","Realfag og teknologi","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","","2006","","","EMS Publishing House","Sveits","","0","http://www.ems-ph.org/journals/jncg/jncg.php"
"470353","Groups, Geometry, and Dynamics","18-Aug-2023 13:56:25","Groups, Geometry, and Dynamics","1","1661-7207","1661-7215","DOAJ","Matematikk","Realfag og teknologi","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","","2006","","","EMS Publishing House","Sveits","","0","http://www.ems-ph.org/journals/ggd/ggd.php"
"470354","Tidsskrift for forskning i sygdom og samfund","08-Jun-2023 11:42:57","Tidsskrift for forskning i sygdom og samfund","1","1604-3405","1904-7975","","Samfunnsmedisin","Medisin og helsefag","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","","","","","Medicinsk Antropologisk Forum","Danmark","","0","http://ojs.statsbiblioteket.dk/index.php/sygdomogsamfund"
"470355","Neotestamentica","18-Aug-2023 13:56:25","Neotestamentica","1","0254-8356","2518-4628","","Teologi og religionsvitenskap","Humaniora","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","","","","","1967","","","New Testament Society of Southern Africa","Sør-Afrika","Engelsk","0","https://journals.co.za/content/journal/neotest"
"470356","Journal of Statistical Software","18-Aug-2023 13:56:25","Journal of Statistical Software","1","","1548-7660","DOAJ","Matematikk","Realfag og teknologi","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","","","","","American Statistical Association","USA","","0","http://www.jstatsoft.org/"
"470357","Ching Feng","15-Aug-2023 13:31:38","Ching Feng","1","0009-4668","","","Teologi og religionsvitenskap","Humaniora","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","","","","","Christian Study Centre on Chinese Religion and Cul","Kina","","0","http://www.chineseupress.com/"
"470358","Cross Currents","06-Jun-2023 12:22:29","Cross Currents","1","0011-1953","1939-3881","","Ikke tildelt","Ikke tildelt","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","Association for Religion and Intellectual Life","USA","","0","http://www.crosscurrents.org/"
"470359","JEEMS. Journal of East European Management Studies","18-Aug-2023 13:56:25","JEEMS. Journal of East European Management Studies","1","0949-6181","1862-0019","","Slavisk-baltisk","Humaniora","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","20110","1995","","Rainer Hampp Verlag","Nomos Verlagsgesellschaft mbH & Co. KG","Tyskland","Flerspråklig","0","http://www.jeems.nomos.de/"
"470360","Canadian Journal of Science, Mathematics and Technology Education","18-Aug-2023 13:56:25","Canadian Journal of Science, Mathematics and Technology Education","1","1492-6156","1942-4051","","Tverrfaglig naturvitenskap og medisin","Realfag og teknologi","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","22512","2000","","Springer","Ontario Institute for Studies in Education (OISE)","Canada","Engelsk","0","http://128.100.205.52/jour.ihtml?lp=cjsmte%2Fcjsmte.html"
"470361","Schmalenbach Journal of Business Research","18-Aug-2023 13:56:25","Schmalenbach Journal of Business Research","1","0341-2687","2366-6153","DOAJ","Økonomisk-administrative fag","Samfunnsvitenskap","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","26051","1975","","Springer Gabler","","Tyskland","Tysk","0","https://www.springer.com/journal/41471"
