"Tidsskrift id","Original tittel","Sist endret","Internasjonal tittel","Aktiv","Print ISSN","Online ISSN","Open Access","NPI Fagfelt","NPI Fagområde","Nivå 2024","Nivå 2023","Nivå 2022","Nivå 2021","Nivå 2020","Nivå 2019","Nivå 2018","Nivå 2017","Nivå 2016","Nivå 2015","Nivå 2014","Nivå 2013","Nivå 2012","Nivå 2011","Nivå 2010","Nivå 2009","Nivå 2008","Nivå 2007","Nivå 2006","Nivå 2005","Nivå 2004","Forlag id","Etablert år","Nedlagt år","Forlag","Utgiver","Utgiverland","Språk","Konferanserapport","Url"
"503430","Queenship and Power","18-Aug-2023 13:56:25","Queenship and Power","1","2730-938X","2730-9398","","Historie og Idéhistorie","Humaniora","","1","1","","","","","","","","","","","","","","","","","","","18370","","","Palgrave Macmillan","","Sveits, USA","Engelsk","0","https://link.springer.com/series/14523"
"503431","International Journal of Applied Economics, Finance and Accounting","18-Aug-2023 13:56:25","International Journal of Applied Economics, Finance and Accounting","1","","2577-767X","","Økonomisk-administrative fag","Samfunnsvitenskap","","1","1","","","","","","","","","","","","","","","","","","","","2017","","","Online Academic Press","USA","Engelsk","0","http://onlineacademicpress.com/index.php/IJAEFA/index"
"503432","Journal of Family Research","08-Jun-2023 11:39:34","Journal of Family Research","1","","2699-2337","DOAJ","Sosiologi","Samfunnsvitenskap","","1","1","","","","","","","","","","","","","","","","","","","26999","2020","","University of Bamberg Press (UBP)","","Tyskland","Engelsk","0","https://ubp.uni-bamberg.de/jfr/index.php/jfr"
"503433","Southern African Journal of Environmental Education (SAJEE)","02-Feb-2023 17:14:12","Southern African Journal of Environmental Education (SAJEE)","1","0256-7504","2411-5959","DOAJ","Pedagogikk og utdanning","Samfunnsvitenskap","","1","1","","","","","","","","","","","","","","","","","","","","1984","","","Environmental Education Association of Southern Africa (EEASA)","Sør-Afrika","Flerspråklig","0","https://www.ajol.info/index.php/sajee/index"
"503434","Structural Dynamics","20-Sep-2023 09:47:26","Structural Dynamics","1","","2329-7778","DOAJ","Fysikk","Realfag og teknologi","","1","1","","","","","","","","","","","","","","","","","","","18060","2014","","AIP Publishing (American Institute of Physics)","ACA (The Structural Science Society)","USA","Engelsk","0","https://pubs.aip.org/aca/sdy"
"503435","Media Practice and Education","18-Aug-2023 13:56:25","Media Practice and Education","1","2574-1136","2574-1144","","Medier og kommunikasjon","Humaniora","","1","1","","","","","","","","","","","","","","","","","","","18442","2018","","Taylor & Francis","","Storbritannia","Engelsk","0","https://www.tandfonline.com/journals/rjmp21"
"503436","BMC Primary Care","18-Aug-2023 13:56:25","BMC Primary Care","1","","2731-4553","DOAJ","Samfunnsmedisin","Medisin og helsefag","","1","1","","","","","","","","","","","","","","","","","","","16994","2022","","BioMed Central (BMC)","","Storbritannia","Engelsk","0","https://bmcprimcare.biomedcentral.com/"
"503437","Public Sector Economics","18-Aug-2023 13:56:25","Public Sector Economics","1","","2459-8860","DOAJ","Samfunnsøkonomi","Samfunnsvitenskap","","1","1","","","","","","","","","","","","","","","","","","","","2017","","","Institute of Public Finance, Zagreb","Kroatia","Engelsk","0","http://www.pse-journal.hr/en"
"503438","The Herpetological Bulletin","18-Aug-2023 13:56:25","The Herpetological Bulletin","1","1473-0928","2634-1387","","Biovitenskap","Realfag og teknologi","","1","1","","","","","","","","","","","","","","","","","","","","2000","","","The British Herpetological Society","Storbritannia","Engelsk","0","https://www.thebhs.org/publications/the-herpetological-bulletin"
"503439","IEEE Open Journal of Antennas and Propagation","18-Aug-2023 13:56:25","IEEE Open Journal of Antennas and Propagation","1","","2637-6431","DOAJ","IKT","Realfag og teknologi","","1","1","","","","","","","","","","","","","","","","","","","18231","2019","","IEEE (Institute of Electrical and Electronics Engineers)","","USA","Engelsk","0","https://aps.ieee.org/ieee-ojap"
